text,date
Bought the newly released THE CRAZIES by ROMERO on BD. https://t.co/YTJWhyoA9v,2019/12/15 9:52
This is the stage costume design of CHVRCHES for TGA performance last night. I gave direction to Yoji to design as I wanted Lauren to be like Cleopatra to sing. Based on this concept design I asked Lauren to make her own. https://t.co/y4AiJmRydx,2019/12/14 3:27
"Dear Sam “Porter” Bridges in the world, thanks for delivering packages. DS has been updated, we increased the text size too. Have fun in the weekend. 

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/xM7kqrBNpk",2019/12/14 2:27
"Now TGA is over, our 4th anniversary is coming on 12/16, I somehow made my 1st step. I hope to keep making a path by going forward for those youth who are on the way to follow. I’d like to take this opportunity to thank everyone who supported us &amp; Sam “Porter” Bridges out there. https://t.co/6ItytkD9Vf",2019/12/14 2:05
"Received this music sheet as “Strand” from Iian, Lauren and Martin of CHVRCHES after the TGA show. I’m so overwhelmed? https://t.co/pel8K1pE5c",2019/12/13 18:24
"My loved ones who I got connected with thru DEATH STRANDING. Lindsay, Norman, and CHVRCHES. I never ever let it go. 

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/kxeIJwgNT2",2019/12/13 16:52
"We received BEST GAME DIRECTION, BEST SCORE &amp; MUSIC, and BEST PERFORMANCE(Mads Mikkelsen playing Cliff) for DEATH STRANDING at TGA2019. Thank you very much. 

TOMORROW IS IN YOUR HANDS.
#デスストでつながれ
#デススト
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/GJ2xT2biPY",2019/12/13 16:40
"Thank you very much for this precious gift, Tim! https://t.co/kdbB5gC2rN",2019/12/13 8:46
With Tim Miller. https://t.co/tFCyjsrJSP,2019/12/13 5:19
"Visited INSOMNIAC GAMES, thanks to Ted Price.

TOMORROW IS IN YOUR HANDS. https://t.co/TrG5vhSV4C",2019/12/12 10:57
"TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#DeathStranding?????
#TomorrowIsInYourHand https://t.co/tNCYgR9SAl",2019/12/12 3:38
