Tweet,Created Date,Retweets,Favourites,Engagement,No of Hashtags,No of User Mentions,No of URLS added,No of Media added,Tweeted Username,Replied To Username,Post Type,Media Type,Is Quote Tweet,Is Retweeted,Language,Country,Location,Location Full Name,Location Type,Hashtags,User Mentions,URLS Used,Media URLS,Name,Username,Created Date (Handles) ,Language (Handles) ,Tweets,Followers,Friends,Favourites (Handles) ,Listed Count,Location (Handles) ,Protected,Verified,URL,Description,Profile Image URL,Account Age in Days,Avg Tweets per day
"While I was writing the concept for the next project I found the old documents in my computer, I miss those early days of working on DS presentation doc. https://t.co/ZnSSXwslr9",2019/12/24 21:17,1737,11082,12819,0,0,0,2,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,"http://pbs.twimg.com/media/EMjSjlAUUAAqUZt.jpg,http://pbs.twimg.com/media/EMjSjnDVUAEmB1g.jpg",HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
"Even though it has various elements included, to me both MGS and DS are all Sci-Fi. https://t.co/HE6RokOOH3",2019/12/24 21:15,305,3558,3863,0,0,0,1,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,http://pbs.twimg.com/media/EMjSD89VAAAfVOY.jpg,HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
"The Sam’s key visual released at E3 2018. Sam having a break holding BB in his arms on this desolated land. You may haven’t noticed but if you take a look at now it surely looks exactly the DS, right? 

TOMORROW IS IN YOUR HANDS.

#DeathStranding?????
#TomorrowIsInYourHands https://t.co/cmrIKshsmt",2019/12/24 15:52,312,3430,3742,2,0,0,1,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,"DeathStranding,TomorrowIsInYourHands",,,http://pbs.twimg.com/media/EMiIK3GUYAAntPP.jpg,HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
"It’s delivery season. 

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/aC6koSkNNC",2019/12/24 15:47,437,2632,3069,4,0,0,1,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,"デスストでつながれ,デススト,DeathStranding,TomorrowIsInYourHands",,,http://pbs.twimg.com/media/EMiHGvpUEAAY1zU.jpg,HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
Maybe I was too tired I slept over this morning. I wanted to go see Last Christmas 1st thing in the morning but realized today was Christmas Eve. Me as an old man going to the theater by myself on this day? I changed my plan to stay in my office working on my next concept. https://t.co/6dleNPEJmJ,2019/12/24 12:04,1792,17817,19609,0,0,0,2,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,"http://pbs.twimg.com/media/EMhT32oU4AILyrK.jpg,http://pbs.twimg.com/media/EMhT32oU4AAmRjd.jpg",HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
"As I was asked to write columns about movies/tv program on streaming I ought to watch those. “6 Underground” was one of the few that I saw a commercial of. As Cuaron and Scorsese gone to work with Netflix Original and then Michael Bay has joined too, I’m going to watch it. https://t.co/JUWl82YsXM",2019/12/24 10:37,69,914,983,0,0,0,1,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,http://pbs.twimg.com/media/EMhAJPZU0AAXVhl.jpg,HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
Good morning https://t.co/ZcfN3kzUf0,2019/12/24 10:23,401,5553,5954,0,0,0,1,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,http://pbs.twimg.com/media/EMg84MJU4AA2uvv.jpg,HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
I want to see this but not available in Japan yet? https://t.co/OUHokKDmZt,2019/12/23 23:59,108,2454,2562,0,0,0,1,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,http://pbs.twimg.com/media/EMet_G6UEAAeV1b.jpg,HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
Working on the next concept while no one is in the office. https://t.co/1zIeo5nnBo,2019/12/23 18:04,2453,26772,29225,0,0,0,1,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,http://pbs.twimg.com/media/EMdc0FsU8AE2x9c.jpg,HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
"Watched A Shaun the Sheep MOVIE: FARMAGEDDON. Telling story with visuals and songs to bring laughs and various emotions instead of using dialogue, that’s the real pleasure of the film. Great music sense of using OUT OF CONTROL by Chemical Brothers with Bernard Sumner. https://t.co/Eu10a4HhnG",2019/12/22 18:33,600,3558,4158,0,0,0,4,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,"http://pbs.twimg.com/media/EMYZ2H2U4AEZUjN.jpg,http://pbs.twimg.com/media/EMYZ2H3UwAUN5mA.jpg,http://pbs.twimg.com/media/EMYZ2H2VUAAvnBx.jpg,http://pbs.twimg.com/media/EMYZ2I4UEAAhiAj.jpg",HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
